plan_id,day,book,book_name,chapter_start,chapter_end,title
gospels_30,1,MAT,马太福音,1,3,马太福音 1-3
gospels_30,2,MAT,马太福音,4,6,马太福音 4-6
gospels_30,3,MAT,马太福音,7,9,马太福音 7-9
gospels_30,4,MAT,马太福音,10,12,马太福音 10-12
gospels_30,5,MAT,马太福音,13,15,马太福音 13-15
gospels_30,6,MAT,马太福音,16,18,马太福音 16-18
gospels_30,7,MAT,马太福音,19,21,马太福音 19-21
gospels_30,8,MAT,马太福音,22,24,马太福音 22-24
gospels_30,9,MAT,马太福音,25,27,马太福音 25-27
gospels_30,10,MAT,马太福音,28,28,马太福音 28
gospels_30,10,MRK,马可福音,1,2,马可福音 1-2
gospels_30,11,MRK,马可福音,3,5,马可福音 3-5
gospels_30,12,MRK,马可福音,6,8,马可福音 6-8
gospels_30,13,MRK,马可福音,9,11,马可福音 9-11
gospels_30,14,MRK,马可福音,12,14,马可福音 12-14
gospels_30,15,MRK,马可福音,15,16,马可福音 15-16
gospels_30,15,LUK,路加福音,1,1,路加福音 1
gospels_30,16,LUK,路加福音,2,4,路加福音 2-4
gospels_30,17,LUK,路加福音,5,7,路加福音 5-7
gospels_30,18,LUK,路加福音,8,10,路加福音 8-10
gospels_30,19,LUK,路加福音,11,13,路加福音 11-13
gospels_30,20,LUK,路加福音,14,16,路加福音 14-16
gospels_30,21,LUK,路加福音,17,19,路加福音 17-19
gospels_30,22,LUK,路加福音,20,22,路加福音 20-22
gospels_30,23,LUK,路加福音,23,24,路加福音 23-24
gospels_30,23,JHN,约翰福音,1,1,约翰福音 1
gospels_30,24,JHN,约翰福音,2,4,约翰福音 2-4
gospels_30,25,JHN,约翰福音,5,7,约翰福音 5-7
gospels_30,26,JHN,约翰福音,8,10,约翰福音 8-10
gospels_30,27,JHN,约翰福音,11,13,约翰福音 11-13
gospels_30,28,JHN,约翰福音,14,16,约翰福音 14-16
gospels_30,29,JHN,约翰福音,17,19,约翰福音 17-19
gospels_30,30,JHN,约翰福音,20,21,约翰福音 20-21
