plan_id,day,book,book_name,chapter_start,chapter_end,title
new_testament_90,1,MAT,马太福音,1,3,马太福音 1-3
new_testament_90,2,MAT,马太福音,4,6,马太福音 4-6
new_testament_90,3,MAT,马太福音,7,9,马太福音 7-9
new_testament_90,4,MAT,马太福音,10,12,马太福音 10-12
new_testament_90,5,MAT,马太福音,13,15,马太福音 13-15
new_testament_90,6,MAT,马太福音,16,18,马太福音 16-18
new_testament_90,7,MAT,马太福音,19,21,马太福音 19-21
new_testament_90,8,MAT,马太福音,22,24,马太福音 22-24
new_testament_90,9,MAT,马太福音,25,27,马太福音 25-27
new_testament_90,10,MAT,马太福音,28,28,马太福音 28
new_testament_90,10,MRK,马可福音,1,2,马可福音 1-2
new_testament_90,11,MRK,马可福音,3,5,马可福音 3-5
new_testament_90,12,MRK,马可福音,6,8,马可福音 6-8
new_testament_90,13,MRK,马可福音,9,11,马可福音 9-11
new_testament_90,14,MRK,马可福音,12,14,马可福音 12-14
new_testament_90,15,MRK,马可福音,15,16,马可福音 15-16
new_testament_90,15,LUK,路加福音,1,1,路加福音 1
new_testament_90,16,LUK,路加福音,2,4,路加福音 2-4
new_testament_90,17,LUK,路加福音,5,7,路加福音 5-7
new_testament_90,18,LUK,路加福音,8,10,路加福音 8-10
new_testament_90,19,LUK,路加福音,11,13,路加福音 11-13
new_testament_90,20,LUK,路加福音,14,16,路加福音 14-16
new_testament_90,21,LUK,路加福音,17,19,路加福音 17-19
new_testament_90,22,LUK,路加福音,20,22,路加福音 20-22
new_testament_90,23,LUK,路加福音,23,24,路加福音 23-24
new_testament_90,23,JHN,约翰福音,1,1,约翰福音 1
new_testament_90,24,JHN,约翰福音,2,4,约翰福音 2-4
new_testament_90,25,JHN,约翰福音,5,7,约翰福音 5-7
new_testament_90,26,JHN,约翰福音,8,10,约翰福音 8-10
new_testament_90,27,JHN,约翰福音,11,13,约翰福音 11-13
new_testament_90,28,JHN,约翰福音,14,16,约翰福音 14-16
new_testament_90,29,JHN,约翰福音,17,19,约翰福音 17-19
new_testament_90,30,JHN,约翰福音,20,21,约翰福音 20-21
new_testament_90,30,ACT,使徒行传,1,1,使徒行传 1
new_testament_90,31,ACT,使徒行传,2,4,使徒行传 2-4
new_testament_90,32,ACT,使徒行传,5,7,使徒行传 5-7
new_testament_90,33,ACT,使徒行传,8,10,使徒行传 8-10
new_testament_90,34,ACT,使徒行传,11,13,使徒行传 11-13
new_testament_90,35,ACT,使徒行传,14,16,使徒行传 14-16
new_testament_90,36,ACT,使徒行传,17,19,使徒行传 17-19
new_testament_90,37,ACT,使徒行传,20,22,使徒行传 20-22
new_testament_90,38,ACT,使徒行传,23,25,使徒行传 23-25
new_testament_90,39,ACT,使徒行传,26,28,使徒行传 26-28
new_testament_90,40,ROM,罗马书,1,3,罗马书 1-3
new_testament_90,41,ROM,罗马书,4,6,罗马书 4-6
new_testament_90,42,ROM,罗马书,7,9,罗马书 7-9
new_testament_90,43,ROM,罗马书,10,12,罗马书 10-12
new_testament_90,44,ROM,罗马书,13,15,罗马书 13-15
new_testament_90,45,ROM,罗马书,16,16,罗马书 16
new_testament_90,45,1CO,哥林多前书,1,2,哥林多前书 1-2
new_testament_90,46,1CO,哥林多前书,3,5,哥林多前书 3-5
new_testament_90,47,1CO,哥林多前书,6,8,哥林多前书 6-8
new_testament_90,48,1CO,哥林多前书,9,11,哥林多前书 9-11
new_testament_90,49,1CO,哥林多前书,12,14,哥林多前书 12-14
new_testament_90,50,1CO,哥林多前书,15,16,哥林多前书 15-16
new_testament_90,50,2CO,哥林多后书,1,1,哥林多后书 1
new_testament_90,51,2CO,哥林多后书,2,4,哥林多后书 2-4
new_testament_90,52,2CO,哥林多后书,5,7,哥林多后书 5-7
new_testament_90,53,2CO,哥林多后书,8,10,哥林多后书 8-10
new_testament_90,54,2CO,哥林多后书,11,13,哥林多后书 11-13
new_testament_90,55,GAL,加拉太书,1,3,加拉太书 1-3
new_testament_90,56,GAL,加拉太书,4,6,加拉太书 4-6
new_testament_90,57,EPH,以弗所书,1,3,以弗所书 1-3
new_testament_90,58,EPH,以弗所书,4,6,以弗所书 4-6
new_testament_90,59,PHP,腓立比书,1,3,腓立比书 1-3
new_testament_90,60,PHP,腓立比书,4,4,腓立比书 4
new_testament_90,60,COL,歌罗西书,1,2,歌罗西书 1-2
new_testament_90,61,COL,歌罗西书,3,4,歌罗西书 3-4
new_testament_90,61,1TH,帖撒罗尼迦前书,1,1,帖撒罗尼迦前书 1
new_testament_90,62,1TH,帖撒罗尼迦前书,2,4,帖撒罗尼迦前书 2-4
new_testament_90,63,1TH,帖撒罗尼迦前书,5,5,帖撒罗尼迦前书 5
new_testament_90,63,2TH,帖撒罗尼迦后书,1,2,帖撒罗尼迦后书 1-2
new_testament_90,64,2TH,帖撒罗尼迦后书,3,3,帖撒罗尼迦后书 3
new_testament_90,64,1TI,提摩太前书,1,2,提摩太前书 1-2
new_testament_90,65,1TI,提摩太前书,3,5,提摩太前书 3-5
new_testament_90,66,1TI,提摩太前书,6,6,提摩太前书 6
new_testament_90,66,2TI,提摩太后书,1,2,提摩太后书 1-2
new_testament_90,67,2TI,提摩太后书,3,4,提摩太后书 3-4
new_testament_90,67,TIT,提多书,1,1,提多书 1
new_testament_90,68,TIT,提多书,2,3,提多书 2-3
new_testament_90,68,PHM,腓利门书,1,1,腓利门书 1
new_testament_90,69,HEB,希伯来书,1,3,希伯来书 1-3
new_testament_90,70,HEB,希伯来书,4,6,希伯来书 4-6
new_testament_90,71,HEB,希伯来书,7,9,希伯来书 7-9
new_testament_90,72,HEB,希伯来书,10,12,希伯来书 10-12
new_testament_90,73,HEB,希伯来书,13,13,希伯来书 13
new_testament_90,73,JAS,雅各书,1,2,雅各书 1-2
new_testament_90,74,JAS,雅各书,3,5,雅各书 3-5
new_testament_90,75,1PE,彼得前书,1,3,彼得前书 1-3
new_testament_90,76,1PE,彼得前书,4,5,彼得前书 4-5
new_testament_90,76,2PE,彼得后书,1,1,彼得后书 1
new_testament_90,77,2PE,彼得后书,2,3,彼得后书 2-3
new_testament_90,77,1JN,约翰一书,1,1,约翰一书 1
new_testament_90,78,1JN,约翰一书,2,4,约翰一书 2-4
new_testament_90,79,1JN,约翰一书,5,5,约翰一书 5
new_testament_90,79,2JN,约翰二书,1,1,约翰二书 1
new_testament_90,79,3JN,约翰三书,1,1,约翰三书 1
new_testament_90,80,JUD,犹大书,1,1,犹大书 1
new_testament_90,80,REV,启示录,1,2,启示录 1-2
new_testament_90,81,REV,启示录,3,4,启示录 3-4
new_testament_90,82,REV,启示录,5,6,启示录 5-6
new_testament_90,83,REV,启示录,7,8,启示录 7-8
new_testament_90,84,REV,启示录,9,10,启示录 9-10
new_testament_90,85,REV,启示录,11,12,启示录 11-12
new_testament_90,86,REV,启示录,13,14,启示录 13-14
new_testament_90,87,REV,启示录,15,16,启示录 15-16
new_testament_90,88,REV,启示录,17,18,启示录 17-18
new_testament_90,89,REV,启示录,19,20,启示录 19-20
new_testament_90,90,REV,启示录,21,22,启示录 21-22
