plan_id,day,book,book_name,chapter_start,chapter_end,title
pentateuch_40,1,GEN,创世记,1,3,创世记 1-3
pentateuch_40,2,GEN,创世记,4,6,创世记 4-6
pentateuch_40,3,GEN,创世记,7,9,创世记 7-9
pentateuch_40,4,GEN,创世记,10,12,创世记 10-12
pentateuch_40,5,GEN,创世记,13,15,创世记 13-15
pentateuch_40,6,GEN,创世记,16,18,创世记 16-18
pentateuch_40,7,GEN,创世记,19,21,创世记 19-21
pentateuch_40,8,GEN,创世记,22,24,创世记 22-24
pentateuch_40,9,GEN,创世记,25,27,创世记 25-27
pentateuch_40,10,GEN,创世记,28,30,创世记 28-30
pentateuch_40,11,GEN,创世记,31,33,创世记 31-33
pentateuch_40,12,GEN,创世记,34,36,创世记 34-36
pentateuch_40,13,GEN,创世记,37,39,创世记 37-39
pentateuch_40,14,GEN,创世记,40,42,创世记 40-42
pentateuch_40,15,GEN,创世记,43,45,创世记 43-45
pentateuch_40,16,GEN,创世记,46,48,创世记 46-48
pentateuch_40,17,GEN,创世记,49,50,创世记 49-50
pentateuch_40,18,EXO,出埃及记,1,3,出埃及记 1-3
pentateuch_40,19,EXO,出埃及记,4,6,出埃及记 4-6
pentateuch_40,20,EXO,出埃及记,7,9,出埃及记 7-9
pentateuch_40,21,EXO,出埃及记,10,12,出埃及记 10-12
pentateuch_40,22,EXO,出埃及记,13,15,出埃及记 13-15
pentateuch_40,23,EXO,出埃及记,16,18,出埃及记 16-18
pentateuch_40,24,EXO,出埃及记,19,21,出埃及记 19-21
pentateuch_40,25,EXO,出埃及记,22,24,出埃及记 22-24
pentateuch_40,26,EXO,出埃及记,25,27,出埃及记 25-27
pentateuch_40,27,EXO,出埃及记,28,30,出埃及记 28-30
pentateuch_40,28,EXO,出埃及记,31,33,出埃及记 31-33
pentateuch_40,29,EXO,出埃及记,34,36,出埃及记 34-36
pentateuch_40,30,EXO,出埃及记,37,40,出埃及记 37-40
pentateuch_40,31,LEV,利未记,1,5,利未记 1-5
pentateuch_40,32,LEV,利未记,6,10,利未记 6-10
pentateuch_40,33,LEV,利未记,11,15,利未记 11-15
pentateuch_40,34,LEV,利未记,16,20,利未记 16-20
pentateuch_40,35,LEV,利未记,21,25,利未记 21-25
pentateuch_40,36,NUM,民数记,1,5,民数记 1-5
pentateuch_40,37,NUM,民数记,6,10,民数记 6-10
pentateuch_40,38,NUM,民数记,11,15,民数记 11-15
pentateuch_40,39,DEU,申命记,1,10,申命记 1-10
pentateuch_40,40,DEU,申命记,11,20,申命记 11-20
