plan_id,day,book,book_name,chapter_start,chapter_end,title
prophets_21,1,ISA,以赛亚书,1,3,以赛亚书 1-3
prophets_21,2,ISA,以赛亚书,4,6,以赛亚书 4-6
prophets_21,3,ISA,以赛亚书,7,9,以赛亚书 7-9
prophets_21,4,ISA,以赛亚书,40,42,以赛亚书 40-42
prophets_21,5,ISA,以赛亚书,52,53,以赛亚书 52-53
prophets_21,6,JER,耶利米书,1,3,耶利米书 1-3
prophets_21,7,JER,耶利米书,29,31,耶利米书 29-31
prophets_21,8,EZE,以西结书,1,3,以西结书 1-3
prophets_21,9,EZE,以西结书,36,37,以西结书 36-37
prophets_21,10,DAN,但以理书,1,3,但以理书 1-3
prophets_21,11,DAN,但以理书,6,7,但以理书 6-7
prophets_21,12,HOS,何西阿书,1,3,何西阿书 1-3
prophets_21,13,JOE,约珥书,1,3,约珥书 1-3
prophets_21,14,AMO,阿摩司书,1,3,阿摩司书 1-3
prophets_21,15,JON,约拿书,1,4,约拿书 1-4
prophets_21,16,MIC,弥迦书,1,3,弥迦书 1-3
prophets_21,17,NAM,那鸿书,1,3,那鸿书 1-3
prophets_21,18,HAB,哈巴谷书,1,3,哈巴谷书 1-3
prophets_21,19,ZEP,西番雅书,1,3,西番雅书 1-3
prophets_21,20,HAG,哈该书,1,2,哈该书 1-2
prophets_21,21,ZEC,撒迦利亚书,1,4,撒迦利亚书 1-4
